date,año,mes,dia,dia_semana,dia_semana_num,es_fin_semana,es_dia_pago,es_festivo,es_dia_habil,despues_festivo,antes_festivo,quincena,dias_desde_pago
2025-02-02,2025,2,2,Sunday,6,True,False,False,False,False,True,1,1
2025-02-03,2025,2,3,Monday,0,False,False,True,False,False,False,1,2
2025-02-04,2025,2,4,Tuesday,1,False,False,False,True,True,False,1,3
2025-02-05,2025,2,5,Wednesday,2,False,False,False,True,False,False,1,4
2025-02-06,2025,2,6,Thursday,3,False,False,False,True,False,False,1,5
2025-02-07,2025,2,7,Friday,4,False,True,False,True,False,False,1,0
2025-02-08,2025,2,8,Saturday,5,True,False,False,False,False,False,1,1
2025-02-09,2025,2,9,Sunday,6,True,False,False,False,False,False,1,2
2025-02-10,2025,2,10,Monday,0,False,False,False,True,False,False,1,3
2025-02-11,2025,2,11,Tuesday,1,False,False,False,True,False,False,1,4
2025-02-12,2025,2,12,Wednesday,2,False,False,False,True,False,False,1,5
2025-02-13,2025,2,13,Thursday,3,False,False,False,True,False,False,1,6
2025-02-14,2025,2,14,Friday,4,False,True,False,True,False,False,1,0
2025-02-15,2025,2,15,Saturday,5,True,True,False,False,False,False,1,0
2025-02-16,2025,2,16,Sunday,6,True,False,False,False,False,False,2,1
2025-02-17,2025,2,17,Monday,0,False,False,False,True,False,False,2,2
2025-02-18,2025,2,18,Tuesday,1,False,False,False,True,False,False,2,3
2025-02-19,2025,2,19,Wednesday,2,False,False,False,True,False,False,2,4
2025-02-20,2025,2,20,Thursday,3,False,False,False,True,False,False,2,5
2025-02-21,2025,2,21,Friday,4,False,True,False,True,False,False,2,0
2025-02-22,2025,2,22,Saturday,5,True,False,False,False,False,False,2,1
2025-02-23,2025,2,23,Sunday,6,True,False,False,False,False,False,2,2
2025-02-24,2025,2,24,Monday,0,False,False,False,True,False,False,2,3
2025-02-25,2025,2,25,Tuesday,1,False,False,False,True,False,False,2,4
2025-02-26,2025,2,26,Wednesday,2,False,False,False,True,False,False,2,5
2025-02-27,2025,2,27,Thursday,3,False,False,False,True,False,False,2,6
2025-02-28,2025,2,28,Friday,4,False,True,False,True,False,False,2,0
2025-03-01,2025,3,1,Saturday,5,True,True,False,False,False,False,1,0
2025-03-02,2025,3,2,Sunday,6,True,False,False,False,False,False,1,1
2025-03-03,2025,3,3,Monday,0,False,False,False,True,False,False,1,2
2025-03-04,2025,3,4,Tuesday,1,False,False,False,True,False,False,1,3
2025-03-05,2025,3,5,Wednesday,2,False,False,False,True,False,False,1,4
2025-03-06,2025,3,6,Thursday,3,False,False,False,True,False,False,1,5
2025-03-07,2025,3,7,Friday,4,False,True,False,True,False,False,1,0
2025-03-08,2025,3,8,Saturday,5,True,False,False,False,False,False,1,1
2025-03-09,2025,3,9,Sunday,6,True,False,False,False,False,False,1,2
2025-03-10,2025,3,10,Monday,0,False,False,False,True,False,False,1,3
2025-03-11,2025,3,11,Tuesday,1,False,False,False,True,False,False,1,4
2025-03-12,2025,3,12,Wednesday,2,False,False,False,True,False,False,1,5
2025-03-13,2025,3,13,Thursday,3,False,False,False,True,False,False,1,6
2025-03-14,2025,3,14,Friday,4,False,True,False,True,False,False,1,0
2025-03-15,2025,3,15,Saturday,5,True,True,False,False,False,False,1,0
2025-03-16,2025,3,16,Sunday,6,True,False,False,False,False,True,2,1
2025-03-17,2025,3,17,Monday,0,False,False,True,False,False,False,2,2
2025-03-18,2025,3,18,Tuesday,1,False,False,False,True,True,False,2,3
2025-03-19,2025,3,19,Wednesday,2,False,False,False,True,False,False,2,4
2025-03-20,2025,3,20,Thursday,3,False,False,False,True,False,False,2,5
2025-03-21,2025,3,21,Friday,4,False,True,False,True,False,False,2,0
2025-03-22,2025,3,22,Saturday,5,True,False,False,False,False,False,2,1
2025-03-23,2025,3,23,Sunday,6,True,False,False,False,False,False,2,2
2025-03-24,2025,3,24,Monday,0,False,False,False,True,False,False,2,3
2025-03-25,2025,3,25,Tuesday,1,False,False,False,True,False,False,2,4
2025-03-26,2025,3,26,Wednesday,2,False,False,False,True,False,False,2,5
2025-03-27,2025,3,27,Thursday,3,False,False,False,True,False,False,2,6
2025-03-28,2025,3,28,Friday,4,False,True,False,True,False,False,2,0
2025-03-29,2025,3,29,Saturday,5,True,False,False,False,False,False,2,1
